,byline,dates,datetime,title
9860,Lawrence Chung in Taipei lawrence.chung@scmp.com.,02 June 2011,2011-06-02,Ancient painting finally spans a cultural divide Two pieces of 660-year-old mainland masterpiece are unified in Taipei after months of negotiations
9847,"Ngo, Jennifer.",02 June 2011,2011-06-02,More people prosecuted for not buckling up Police target taxi and public light bus drivers and their passengers who fail to wear seat belts
9848,"Lo, Clifford.",02 June 2011,2011-06-02,"Off-duty firefighter killed in bike crash Wong Hiu-fung, 43, lost control of his bicycle at high speed on a downhill bend in Yau Tong"
9849,"Perez, Bien.",02 June 2011,2011-06-02,Social networking is name of the game Shanda Games aims to score big by linking role-playing designs to Facebook and Renren
9850,Anonymous.,02 June 2011,2011-06-02,Tough ultimatum
9851,"Yu, Verna.",02 June 2011,2011-06-02,Nobel Prize winner's family denied visits Relatives of dissident Liu Xiaobo have not seen him or received letters since award was announced
9852,"Chiu, Austin.",02 June 2011,2011-06-02,Row over HK$330m fund back in court
9853,Anonymous.,02 June 2011,2011-06-02,Events: [1]
9856,"Lo, Wei.",02 June 2011,2011-06-02,Bid to end Shortage of organ donors Officials will consider setting up registration booths after lawmakers tell of transplant patients' plight
9861,Anonymous.,02 June 2011,2011-06-02,Table of contents: [1]
9836,"Yuk-hang, Ng.",02 June 2011,2011-06-02,Voyeur doctor applies for licence
9835,Anonymous.,02 June 2011,2011-06-02,BEIJING: District tears down ads
9838,Anonymous.,02 June 2011,2011-06-02,Rail service still running despite watchdog's order
9854,"Simpson, Cheung.",02 June 2011,2011-06-02,"Mainland still the largest source of skilled staff Most newcomers head for jobs in finance or IT, underlining reliance on cross-border talent pool"
9855,"Lam, Lana.",02 June 2011,2011-06-02,Mobile users not alarmed by scare Young city professionals say they will still make the same number of calls despite a World Health Organisation report on possible links to cancer
9863,Anonymous.,02 June 2011,2011-06-02,State-told tales court big screen success HOW WE SEE IT
9885,Anonymous.,02 June 2011,2011-06-02,Warning over online slimming products
9884,"Lo, Wei; Chan, Thomas.",02 June 2011,2011-06-02,"On-street charity events face new regulations Rules will be introduced on August 1 to reduce nuisance and improve transparency, Legco hears"
9824,"Chen, Stephen.",02 June 2011,2011-06-02,Beijing bans 19 Taiwanese food products Mainland authorities' ban includes sports drinks and fruit juice as island's food industry reels from scandal over cancer-causing chemicals in products
9844,"Perez, Bien.",02 June 2011,2011-06-02,Jobs to emerge from medical leave for iCloud Apple chief will launch the multimedia service that is tipped to be the next 'game-changer'
9826,Anonymous.,02 June 2011,2011-06-02,Italian National Day Is celebrated today
9825,"Ngo, DJennifer; Simpson, Cheung.",02 June 2011,2011-06-02,Drinks-recall chemical 'will not be banned'
9827,"Tze-wei, Ng.",02 June 2011,2011-06-02,"Police hound activist on family day out Zhao Lianhai, wife and two children trapped inside supermarket restaurant for more than four hours"
9828,Lawrence Chung in Taipei lawrence.chung@scmp.com.,02 June 2011,2011-06-02,Taiwan battles beverage crisis
9843,Anna Healy Fenton.,02 June 2011,2011-06-02,"Ferry ride aims to shed light on death Judge, legal teams go to Lamma to relive conditions when wine merchant fell overboard nine years ago"
9829,"Clem, Will.",02 June 2011,2011-06-02,North Korean 'happiness' study puts Chinese top Online respondents sceptical as mainland's hermit neighbour ranks US world's most miserable nation
9831,Anonymous.,02 June 2011,2011-06-02,Airlines must bear the cost of pollution
9837,"Fraser, Niall.",02 June 2011,2011-06-02,Greek-Aussie feels right at home in world city
9841,"Chong, Dennis.",02 June 2011,2011-06-02,Universities forced to vie for fewer research grants
9839,"Fraser, Niall.",02 June 2011,2011-06-02,"The case for a new prosecution Kevin Zervos, Hong Kong's top prosecutor, is determined to respond to growing public demands for more transparency in the justice system"
9840,"Chiu, Austin.",02 June 2011,2011-06-02,Tony Chan wins battle with taxman Judge quashes department's refusal to give fung shui master more time to file objection against claim
9842,Anonymous.,02 June 2011,2011-06-02,Children's appeal
9832,Anonymous.,02 June 2011,2011-06-02,Care needed over teacher recruits
9833,"Rovnick, Naomi.",02 June 2011,2011-06-02,Miner files data it says backs income figures Real Gold denies any discrepancies and plans to submit more information to stock exchange
9830,Raissa Robles in Manila.,02 June 2011,2011-06-02,All mod cons - elite prisoners live in luxury Scandal of privileged inmates goes public after former provincial governor who murdered his best friend is caught visiting his Makati penthouse
9845,"Nip, Amy.",02 June 2011,2011-06-02,"90pc slump in japan visits after quake After a sharp drop in holidaymakers from city in the month after disaster, tourism officials in the country now fear a stronger yuan is delaying their return"
9882,"Wong, Olga; Fanny W.Y. Fung olga.wong@scmp.com.",02 June 2011,2011-06-02,"Less legal action over N.T. buildings Prosecutions over unauthorised structures in rural areas fell 38 per cent from 2007 to last year despite a rise in complaints, government figures show"
9873,"Chi-fai, Cheung.",02 June 2011,2011-06-02,"Nobody happy as maids get 4.5pc rise Helpers wanted HK$4,000, while some bosses begrudge payingeven a cent more"
9864,Anonymous.,02 June 2011,2011-06-02,Stars flock to opening of Hogan's homely new store and dodge burning questions on the rumour mill
9865,Anonymous.,02 June 2011,2011-06-02,"Every shade is distinct, so Shu Uemura says"
9881,Anonymous.,02 June 2011,2011-06-02,Most residents in Mui Wo are fond of buffaloes and want them to stay
9883,Anonymous.,02 June 2011,2011-06-02,Airport master plan gets off the ground
9880,"Lam, Lana.",02 June 2011,2011-06-02,Action urged on 'cancer phones' WHO report that mobiles may be carcinogenic spurs calls for more government research in Hong Kong
9879,"Sito, Peggy.",02 June 2011,2011-06-02,Big names take hk rents to new high City now the second-most expensive place in the world to rent a shop as luxury brands rush to get a piece of the mainland market
9878,"Lo, Clifford.",02 June 2011,2011-06-02,Chip cards to help stop ATM fraud
9877,"Ip, Chris; Chiu, Austin.",02 June 2011,2011-06-02,Double killer gets second life term Convicted murderer changes his plea to guilty during a retrial over the death of an airline stewardess
9876,"Sallay, Alvin; Chi-fai, Cheung.",02 June 2011,2011-06-02,"Harbour swimmers to take plunge in October Officials and organisers agree on a route and dateto revive popular event after years, but not everyone's convinced that the water is clean enough"
9875,"Tsang, Denise.",02 June 2011,2011-06-02,"Mainland factory growth slowest in nine months Monetary tightening, power shortages and drought blamed for worsening May figures, but economists play down any fears of a crash"
9846,"Perez, Bien.",02 June 2011,2011-06-02,Lenovo sets sights on Europe Chinese computer giant offers to buy controlling stake in German company Medion as a step towards entering the western European market
9874,"Liu, Yvonne.",02 June 2011,2011-06-02,"Mega projects rob the streets of life, land group says Huge developments like Kowloon Station are pushing pedestrians out instead of enhancing neighbourhoods"
9872,Teddy Ng in Xilinhot; Inner Mongolia teddy.ng@scmp.com.,02 June 2011,2011-06-02,"Pledge to improve lives of Mongols after protestsAfter protests, a pledge to improve lives of Mongols Authorities attempt to put a lid on rising ethnic tension in a resource-rich autonomous region"
9871,"Fraser, Niall; Cheung, Gary.",02 June 2011,2011-06-02,Tsang agrees to remove structure Chief executive says he will have glass panels on the balcony of an apartment he owns in MacDonnell Road dismantled 'to put things beyond doubt'
9870,Anonymous.,02 June 2011,2011-06-02,Actors steal the show at a timely store opening
9869,Anonymous.,02 June 2011,2011-06-02,Beauty centre's tea party offers some DIY glamour
9868,Anonymous.,02 June 2011,2011-06-02,The taxpayer will foot the bill as usual Tourism lobby will have its way and not allow a surcharge on passengers to pay for new runway
9867,"Lam, Anita.",02 June 2011,2011-06-02,"Car sales tipped to jump 14pc this year Sluggish results in first four months no barrier to brighter numbers, key players predict in survey, but foreign manufacturers likely to be biggest winners"
9866,Anonymous.,02 June 2011,2011-06-02,Events
9862,Anonymous.,02 June 2011,2011-06-02,Table of contents
9943,Anonymous.,03 June 2011,2011-06-03,"Know your team, know yourself survival tips"
9917,"Perez, Bien.",03 June 2011,2011-06-03,Starbucks brews full ownership deal Maxim's agrees to hand control of more than half of its stores on the mainland to the coffee chain
9912,Anonymous.,03 June 2011,2011-06-03,Here comes the breath
9907,Anonymous.,03 June 2011,2011-06-03,Fashion designers reverting to 1950s styles? Notte again!
9906,Anonymous.,03 June 2011,2011-06-03,LILY & BLOOM
9905,Anonymous.,03 June 2011,2011-06-03,Events
9904,Anonymous.,03 June 2011,2011-06-03,Casino sector surges tipped for correction
9903,"Nip, Amy.",03 June 2011,2011-06-03,"Attemptto boostcopyrightdefence Amendment to law would make protection of intellectual property 'technology-neutral', so method of transmission would be irrelevant"
9902,"Lam, Anita.",03 June 2011,2011-06-03,Airport needs HK$136 for Third runway Long-awaited plan unveiled but the city's costliest single project requiring huge land reclamation may prove a tough sell to the public
9939,"Chong, Dennis.",03 June 2011,2011-06-03,"Kindergarten cash boost for parents An extra HK$2,000 annually will be granted from the new school year, but teachers are unhappy the cap on fees will not be eased until the following year"
9901,Anonymous.,03 June 2011,2011-06-03,Plug loophole to avoid wasting public money on ersatz by-elections
9899,"Chan, May.",03 June 2011,2011-06-03,Correction forecast in gaming sector
9898,Anonymous.,03 June 2011,2011-06-03,Health concerns
9897,Anonymous.,03 June 2011,2011-06-03,Silas Fong
9947,Daniel Ren in Shanghai ren.wei@scmp.com.,03 June 2011,2011-06-03,Shanghai set to expand port at Yangshan The project will raise capacity by 40pc at the world's busiest container facility when completed in 2015
9896,Anonymous.,03 June 2011,2011-06-03,Textbook answer a long time coming
9886,Anonymous.,03 June 2011,2011-06-03,Nadim Abbas
9900,"Perez, Bien.",03 June 2011,2011-06-03,Top chipmaker to cut labour costs in China STMicroelectronics to increase automation and implement other cost-saving processes at its mainland factories as payrolls continue to climb
9909,"Fung, Fanny W Y.",03 June 2011,2011-06-03,John Tsang to face panel over IT deal
9910,Anonymous.,03 June 2011,2011-06-03,"This IPO is an infrastructure project, not a mining company Pitched as the perfect entry to China's demand for Australia's minerals, Resourcehouse is more a collection of very expensive projects and contracts"
9911,Anonymous.,03 June 2011,2011-06-03,Environment minister to talk up HK's dearth of climate change initiatives
9946,"Lo, Wei.",03 June 2011,2011-06-03,Solar power cells get even smaller City team produces a thin film with thickness comparable to one-tenth of a piece of human hair
9942,Anonymous.,03 June 2011,2011-06-03,face-to-face book
9941,Anonymous.,03 June 2011,2011-06-03,career builder
9940,Anonymous.,03 June 2011,2011-06-03,BEIJING: Lifeguard overlooks drowning
9945,Staff Reporter in Xilinhot; Inner Mongolia.,03 June 2011,2011-06-03,"Inner Mongolia quieter after herder's death Riots fade in the face of large security presence but tensions still high among locals aggrieved by mining, hit-and-run death and influx of Han Chinese"
9894,Anonymous.,03 June 2011,2011-06-03,Beijing plays diplomatic card with top delegate
9926,Anonymous.,03 June 2011,2011-06-03,"From scratch up A new addition to Hong Kong's hospitality skyline has a very local feel, writes Alex Frew McMillan"
9938,Anonymous.,03 June 2011,2011-06-03,Personal touch drives sector job trends Travel and tourism
9887,"Chen, Stephen.",03 June 2011,2011-06-03,Beijing hits at Pentagon's cyber strategy China says plan to combat computer sabotage would open the door for the US to use military force
9888,Anonymous.,03 June 2011,2011-06-03,Answers needed in IT contract case
9889,Anonymous.,03 June 2011,2011-06-03,Celebrities to get paddling for a good cause - sending needy Nepali children to school
9890,Anonymous.,03 June 2011,2011-06-03,Adrian Wong
9891,Anonymous.,03 June 2011,2011-06-03,Celebrities happy to show they have a heart
9892,"Nip, Amy.",03 June 2011,2011-06-03,Agencies cut refunds on cancelled holiday tours Civil war or natural disasters may stop your holiday but operators will no longer refund travel costs
9893,"Chiu, Austin.",03 June 2011,2011-06-03,41/2 years' jail for attempted rape
9932,"Lee, Amanda.",03 June 2011,2011-06-03,"Samsonite rejects multi listings Century-old luggage firm considered and then ruled out flotations in other centres before settling on Hong Kong, according to the company's chairman"
9933,"Lam, Anita.",03 June 2011,2011-06-03,"Big losses forecast if project fails to take off Demand for airport services will nearly double present levels by 2030, authority blueprint concludes"
9937,"Sito, Peggy.",03 June 2011,2011-06-03,Property deals up 20.7pc on new project sales
9935,Anonymous.,03 June 2011,2011-06-03,Table of Contents
9924,"Chen, Lulu.",03 June 2011,2011-06-03,"Forex reserves may hobble yuan vision Beijing's plans to internationalise the currency are being undermined as 90pc of yuan trade settlement is for imports, economist warns"
9923,Anonymous.,03 June 2011,2011-06-03,"watch this space {hellip} brands are looking to a multitude of design devices to capture not just your attention, but time itself"
9922,Anonymous.,03 June 2011,2011-06-03,100 years on
9921,Anonymous.,03 June 2011,2011-06-03,www.fuel.hk
9920,Anonymous.,03 June 2011,2011-06-03,Swindlers found guilty of 14 counts of fraud
9919,"Jiao, Priscilla.",03 June 2011,2011-06-03,Stuck in peak-hour traffic? Just call out 'giddyup'
9934,Anonymous.,03 June 2011,2011-06-03,Table of contents: [1]
9918,"Chi-fai, Cheung.",03 June 2011,2011-06-03,Runway runs into green opposition Environmental groups put forward a litany of problems the airport project may pose and decry a lack of information about ecological effects
9916,Anonymous.,03 June 2011,2011-06-03,London academy names Ai honorary member
9915,Greg Torode in Singapore greg.torode@scmp.com.,03 June 2011,2011-06-03,Defence minister to wade into maritime debate South China Sea tensions expected to be key issue at regional security meeting even as Sino-US ties warm
9936,Anonymous.,03 June 2011,2011-06-03,Swim signals rebirth of our harbour HOW WE SEE IT
9913,Anonymous.,03 June 2011,2011-06-03,Quick and easy way to view job schedule going app
9914,"Li, Raymond.",03 June 2011,2011-06-03,Job-crunch students get freedom of movement Graduates can take up hukou anywhere they can get a job or start their own business
9908,"Yuk-hang, Ng.",03 June 2011,2011-06-03,"Incidence of childhood obesity a numbers game 2,500 more HK children would be deemed grossly overweight if WHO standards were used, say experts"
9944,"Zhai, Ivan.",03 June 2011,2011-06-03,Guangdong firm shut after probe
9931,"Ngo, Jennifer.",03 June 2011,2011-06-03,"Overhaul urged to easehardships of hawkers Neither dole nor hawker income sufficient to support a family, supporters of Tai Hang egg-waffle man say"
9925,"Torode, Greg; Tze-wei, Ng.",03 June 2011,2011-06-03,"China's ships come in With fuel supplies to protect and pirates to fight, the PLA Navy is out in force in the Indian Ocean without a base. Now it looks as if it will get some ports to call home"
9928,"Sedgley, Zuleika.",03 June 2011,2011-06-03,Social workerto aid evicteesfor developer Richfield Realty advertises for worker to join its team forcing the sale of old buildings in which 80 per cent of owners want to sell
9929,"Yiu, Enoch.",03 June 2011,2011-06-03,Scramble for deposits set to push up rates Hong Kong lenders are expected to provide better terms to compete for more retail deposits once tighter capital and liquidity rules are implemented
9930,"Yu, Sophie.",03 June 2011,2011-06-03,Kingdee Group looks beyond the mainland Signature product launched in Hong Kong aimsto tap into small- and medium-sized enterprises
9895,Anonymous.,03 June 2011,2011-06-03,Divert NETs cash to train local teachers
9927,"Cheung, Gary.",03 June 2011,2011-06-03,Bid to ease correction of errors in poll expenses
9954,Anonymous.,04 June 2011,2011-06-04,Table of Contents
9994,Anonymous.,04 June 2011,2011-06-04,Dose of adversity can be healthy
9993,"Tze-wei, Ng.",04 June 2011,2011-06-04,Quake zone hit by yet another relief scandal Four officials in Sichuan lose their jobs over creative use of 90m yuan meant for reconstruction effort
9992,"Chen, Vivian.",04 June 2011,2011-06-04,"Chance meeting leads to love If it hadn't been for their shared passion for dogs, Luyi Lo and Keith Kwong might never have met on a Sai Kung beach. Now they are starting a family"
9991,"Sedgley, Zuleika.",04 June 2011,2011-06-04,"See a doctor, unwell travellers told Health chief warns visitors to Europe to take more precautions in wake of deadly E coli infections"
9990,"Rovnick, Naomi.",04 June 2011,2011-06-04,Sino-Forest shares crash after accusation it lied about assets Research house says mainland timber firm inflated value of land holdings in Yunnan by US$900m
9989,"Kang-chung, Ng; Nip, Amy.",04 June 2011,2011-06-04,Structures crackdown official under fire Buildings Department director caught in row over sliding windows on a balcony at his home
9951,"Chen, Stephen.",04 June 2011,2011-06-04,Appeal to defend 'cyber sovereignty' People's Liberation Army researchers predict countries will have to sign an accord like the Nuclear Non-Proliferation Treaty to forestall conflict
9997,"Nip, Amy.",04 June 2011,2011-06-04,"Incense can be harmful to lungs, says scientist"
9996,"Simpson, Cheung.",04 June 2011,2011-06-04,Four festivals on national heritage list
9995,"Zuo, Mandy.",04 June 2011,2011-06-04,"Drought has Yangtze under siege Falling levels affect water quality and shrinking wetlands threaten migratory birds, but main rivers only 'slightly polluted', annual green assessment claims"
9952,Anonymous.,04 June 2011,2011-06-04,Briefs
9953,Anonymous.,04 June 2011,2011-06-04,Taiwanese officials are monitoring the food safety situation and taking measures
9998,"Ngo, Jennifer.",04 June 2011,2011-06-04,"Tsuen Wan MTR line too loud, watchdog says Testing inside train on route showed noise levels peaking at 98 decibels, enough to damage hearing"
9984,"Perez, Bien.",04 June 2011,2011-06-04,PCCW rises after spin-off plan wins regulatory nod Public listing of telecommunications operations as a business trust will be the first of its kind in the city and enable the group to retain a majority interest
9988,Anonymous.,04 June 2011,2011-06-04,Nadal beats Murray to reach French Open final
1487,"Chen, Vivian.",04 June 2011,2011-06-04,"Chance meeting leads to love If it hadn't been for their shared passion for dogs, Luyi Lo and Keith Kwong might never have met on a Sai Kung beach. Now they are starting a family"
1481,Anonymous.,04 June 2011,2011-06-04,Plenty of horse trading on the way as race for chief heats up Prepare for back-stabbing as political shuffle in Beijing coincides with choosing HK's next leader
1489,Anonymous.,04 June 2011,2011-06-04,Hong Kong throng to commemorate June 4
9979,Anonymous.,04 June 2011,2011-06-04,Perfect harmony
9977,Anonymous.,04 June 2011,2011-06-04,Plenty of horse trading on the way as race for chief heats up Prepare for back-stabbing as political shuffle in Beijing coincides with choosing HK's next leader
9976,Anonymous.,04 June 2011,2011-06-04,"Moody's sounds alarm over US deficit, debt cap"
9975,"Zhai, Ivan.",04 June 2011,2011-06-04,"Self-censorship on sensitive issues is a backwards step When the media takes fright, as appears to be the case in Guangzhou, officials are let off the hook"
9950,"Yiu, Enoch.",04 June 2011,2011-06-04,"MPF dips in May on Europe, US woes Hong Kong's compulsory pension scheme sustained losses almost across the board last month but one analyst warns against a short-term outlook"
9949,"Yu, Verna.",04 June 2011,2011-06-04,Daughter of journalist in 'lingering shadow'
9948,"Fung, Fanny W Y.",04 June 2011,2011-06-04,"Make changesor we'll blockbill, says D.A.B. Pro-Beijing party wants small companies to be excluded from the proposed competition law and for a commission to initiate any lawsuits"
9978,"Lee, Amanda; Bloomberg.",04 June 2011,2011-06-04,Resourcehouse offer may be cut Australian firm's latest attempt to trade in Hong Kong still awaits pricing but signs point to issue being slashed by 30 per cent to HK$3.45 per share
9987,Celine Sun in Beijing celine.sun@scmp.com.,04 June 2011,2011-06-04,Prada looks to buoyant mainland growth amid plans for more stores Italian fashion house forecasts earnings of {euro}150.7m for first half and aims to open 80 extra outlets by January
1473,Anonymous.,04 June 2011,2011-06-04,"Incense, called heung in Cantonese, literally means ""fragrance"""
1474,"Chiu, Austin.",04 June 2011,2011-06-04,"Incensed woman wins HK$75,000 payout"
9964,Anonymous.,04 June 2011,2011-06-04,British minister in town
9962,"Chiu, Austin.",04 June 2011,2011-06-04,"Incensed woman wins HK$75,000 payout"
9961,"Chiu, Austin.",04 June 2011,2011-06-04,Injunction granted to curb incense-burning A family must limit its habit to twice a day after neighbours say joss sticks damaged their health
9960,Anonymous.,04 June 2011,2011-06-04,Judge dismisses hungjury in fraud case
1498,Anonymous.,04 June 2011,2011-06-04,British minister in town
1485,"Mimi Lau in Guangzhou; Tsang, Denise.",04 June 2011,2011-06-04,"Tax blow for HK staff on mainland Mainland tax burden for HK staff With foreign employees having to pay into a social security fund from July 1, industry chiefs fear the extra burden will force out thousands of companies"
1499,"Lam, Anita.",04 June 2011,2011-06-04,"Cathay plays down 3rd runway price tag We will be spendinga lot more thanHK$136 billion onnew planes, says CEO"
1515,Anonymous.,04 June 2011,2011-06-04,Dose of adversity can be healthy
1501,"Chong, Dennis.",04 June 2011,2011-06-04,"Jesuits in bid for universityat fanling Theology will be core subject if Society of Jesus wins over government to establish institution at Queen's Hill in Fanling, the biggest of six sites on offer"
1527,Anonymous.,04 June 2011,2011-06-04,Money's the name of the world game
1526,Anonymous.,04 June 2011,2011-06-04,"Sowing seeds of creativity No book can transform someone into a genius but we can create a nurturing environment, writes Ginn Fung"
1525,Anonymous.,04 June 2011,2011-06-04,Skills shortage mounts amid boom in hiring market watch
9986,"Lee, Ada; Simpson, Cheung.",04 June 2011,2011-06-04,"Bailed activists to force police's hand Protesters say lengthy investigation is meant to keep them out of action, and will demand to be detained"
1524,Anonymous.,04 June 2011,2011-06-04,"BEIJING: 5,000 divorces a day this year"
9980,"Lee, Amanda.",04 June 2011,2011-06-04,"MGM China bucks market trend Despite investor sentiment turning sour, Pansy Ho and Vegas casino partner see stock rise 1.8pc on debut"
9982,Anonymous.,04 June 2011,2011-06-04,Hungry gathering
9999,"Tsang, Denise.",04 June 2011,2011-06-04,Towngas set to issue more dim sum bonds Utility seeks to tap growing demand for yuan investment products to finance HK$10 billion investment across the border in the next three years
10001,Will Clem in Shanghai william.clem@scmp.com.,04 June 2011,2011-06-04,Filthy dumpling factory closed Officials raid workshop producing zongzi in grubby conditions and with excessive use of sweetener
10002,"Liu, Yvonne.",04 June 2011,2011-06-04,Small Hung Hom sites attract large interest
10003,Greg Torode in Singapore greg.torode@scmp.com.,04 June 2011,2011-06-04,Friendly tone to Sino-US talks Outgoing US defence secretary and his Chinese counterpart conciliatory despite ongoing tensions
10004,Anonymous.,04 June 2011,2011-06-04,Hu calls for urgency on rural drought relief
10005,Anonymous.,04 June 2011,2011-06-04,"Nick Hoar, distribution head - Asia-Pacific (ex-Japan, Korea), Neuberger Berman"
9958,Anonymous.,04 June 2011,2011-06-04,Why June 4 vigil remains relevant
10006,"Yu, Verna.",04 June 2011,2011-06-04,"Suffer Today, as Hongkongers remember the brutal crackdown on pro-democracy protests in Beijing 22 years ago, people's thoughts are with prominent dissidents like Liu Xiaobo and Ai Weiwei. But few are aware of the plight suffered by the children of mainland dissidents and the price they have paid over the years. the little children"
9974,"Chiu, Austin.",04 June 2011,2011-06-04,"Pilot fined HK$4,000 for child's death"
9973,Lawrence Chung in Taipei lawrence.chung@scmp.com.,04 June 2011,2011-06-04,Taiwan tells drug firms to check products
9972,Anonymous.,04 June 2011,2011-06-04,"BEIJING: 5,000 divorces a day this year"
9971,Anonymous.,04 June 2011,2011-06-04,Skills shortage mounts amid boom in hiring market watch
9970,Anonymous.,04 June 2011,2011-06-04,"Sowing seeds of creativity No book can transform someone into a genius but we can create a nurturing environment, writes Ginn Fung"
9969,Anonymous.,04 June 2011,2011-06-04,Money's the name of the world game
1488,Anonymous.,04 June 2011,2011-06-04,Hong Kong needs street-level revival HOW WE SEE IT
9968,"Chong, Dennis.",04 June 2011,2011-06-04,"Jesuits in bid for universityat fanling Theology will be core subject if Society of Jesus wins over government to establish institution at Queen's Hill in Fanling, the biggest of six sites on offer"
9967,"Lam, Anita.",04 June 2011,2011-06-04,"Cathay plays down 3rd runway price tag We will be spendinga lot more thanHK$136 billion onnew planes, says CEO"
9966,Anonymous.,04 June 2011,2011-06-04,Just another status symbol for jet-setting mainlanders
9965,"Mimi Lau in Guangzhou; Tsang, Denise.",04 June 2011,2011-06-04,"Tax blow for HK staff on mainland Mainland tax burden for HK staff With foreign employees having to pay into a social security fund from July 1, industry chiefs fear the extra burden will force out thousands of companies"
9955,"Lam, Lana.",04 June 2011,2011-06-04,"No plan to study 'cancer phones' Despite WHO report on possible link between cellphone radio waves and brain cancer, officials have no intention to conduct their own research"
9985,Anonymous.,04 June 2011,2011-06-04,Hong Kong needs street-level revival HOW WE SEE IT
9956,"Ip, Chris.",04 June 2011,2011-06-04,Gay protester takes police chief to court Participant in rally against homophobia on May 15 seeks judicial review after police interrupt dancers
9983,Anonymous.,04 June 2011,2011-06-04,Hong Kong throng to commemorate June 4
9981,Anonymous.,04 June 2011,2011-06-04,Louise & Kinsen Siu
1523,Lawrence Chung in Taipei lawrence.chung@scmp.com.,04 June 2011,2011-06-04,Taiwan tells drug firms to check products
1522,"Zhai, Ivan.",04 June 2011,2011-06-04,"Self-censorship on sensitive issues is a backwards step When the media takes fright, as appears to be the case in Guangzhou, officials are let off the hook"
1521,"Tze-wei, Ng.",04 June 2011,2011-06-04,Quake zone hit by yet another relief scandal Four officials in Sichuan lose their jobs over creative use of 90m yuan meant for reconstruction effort
9959,"Yu, Verna; Lee, Ada.",04 June 2011,2011-06-04,"Remembering Tiananmen: tragedy that shaped a nation Hopes for a democratic China have never looked more distant two decades after crackdown, say critics"
10000,"Nip, Amy.",04 June 2011,2011-06-04,Task force set up to figure out how to tackle problem of rising textbook prices
1475,"Chiu, Austin.",04 June 2011,2011-06-04,Injunction granted to curb incense-burning A family must limit its habit to twice a day after neighbours say joss sticks damaged their health
1476,Anonymous.,04 June 2011,2011-06-04,Judge dismisses hungjury in fraud case
1477,Anonymous.,04 June 2011,2011-06-04,Just another status symbol for jet-setting mainlanders
1478,Anonymous.,04 June 2011,2011-06-04,"Moody's sounds alarm over US deficit, debt cap"
1480,"Perez, Bien.",04 June 2011,2011-06-04,PCCW rises after spin-off plan wins regulatory nod Public listing of telecommunications operations as a business trust will be the first of its kind in the city and enable the group to retain a majority interest
1482,"Sedgley, Zuleika.",04 June 2011,2011-06-04,"See a doctor, unwell travellers told Health chief warns visitors to Europe to take more precautions in wake of deadly E coli infections"
1483,"Rovnick, Naomi.",04 June 2011,2011-06-04,Sino-Forest shares crash after accusation it lied about assets Research house says mainland timber firm inflated value of land holdings in Yunnan by US$900m
9957,"Perez, Bien.",04 June 2011,2011-06-04,PCCW to keep solutions and media businesses Units contributed more than HK$4.4b to revenue last year as spin-off eyed for telephone operations
1484,"Kang-chung, Ng; Nip, Amy.",04 June 2011,2011-06-04,Structures crackdown official under fire Buildings Department director caught in row over sliding windows on a balcony at his home
1494,Celine Sun in Beijing celine.sun@scmp.com.,04 June 2011,2011-06-04,Prada looks to buoyant mainland growth amid plans for more stores Italian fashion house forecasts earnings of {euro}150.7m for first half and aims to open 80 extra outlets by January
1497,"Lee, Ada; Simpson, Cheung.",04 June 2011,2011-06-04,"Bailed activists to force police's hand Protesters say lengthy investigation is meant to keep them out of action, and will demand to be detained"
1486,Anonymous.,04 June 2011,2011-06-04,Briefs
1496,Anonymous.,04 June 2011,2011-06-04,Table of Contents
1495,"Lee, Amanda; Bloomberg.",04 June 2011,2011-06-04,Resourcehouse offer may be cut Australian firm's latest attempt to trade in Hong Kong still awaits pricing but signs point to issue being slashed by 30 per cent to HK$3.45 per share
1493,Anonymous.,04 June 2011,2011-06-04,Perfect harmony
1492,"Lee, Amanda.",04 June 2011,2011-06-04,"MGM China bucks market trend Despite investor sentiment turning sour, Pansy Ho and Vegas casino partner see stock rise 1.8pc on debut"
1491,Anonymous.,04 June 2011,2011-06-04,Louise & Kinsen Siu
1490,Anonymous.,04 June 2011,2011-06-04,Hungry gathering
1479,Anonymous.,04 June 2011,2011-06-04,Nadal beats Murray to reach French Open final
1528,Anonymous.,04 June 2011,2011-06-04,Taiwanese officials are monitoring the food safety situation and taking measures
9963,Anonymous.,04 June 2011,2011-06-04,"Incense, called heung in Cantonese, literally means ""fragrance"""
1507,"Chiu, Austin.",04 June 2011,2011-06-04,"Pilot fined HK$4,000 for child's death"
1512,"Tsang, Denise.",04 June 2011,2011-06-04,Towngas set to issue more dim sum bonds Utility seeks to tap growing demand for yuan investment products to finance HK$10 billion investment across the border in the next three years
1511,"Nip, Amy.",04 June 2011,2011-06-04,Task force set up to figure out how to tackle problem of rising textbook prices
1510,"Yu, Verna.",04 June 2011,2011-06-04,"Suffer Today, as Hongkongers remember the brutal crackdown on pro-democracy protests in Beijing 22 years ago, people's thoughts are with prominent dissidents like Liu Xiaobo and Ai Weiwei. But few are aware of the plight suffered by the children of mainland dissidents and the price they have paid over the years. the little children"
1509,"Liu, Yvonne.",04 June 2011,2011-06-04,Small Hung Hom sites attract large interest
1508,"Yu, Verna; Lee, Ada.",04 June 2011,2011-06-04,"Remembering Tiananmen: tragedy that shaped a nation Hopes for a democratic China have never looked more distant two decades after crackdown, say critics"
